question,answer,link
I am aged 55 and above. What will happen when my Special Account is closed and what is the rationale for doing so? ,"['Today, members aged 55 and above have two CPF accounts that hold savings intended for retirement payouts: the Special Account (SA) and the Retirement Account (RA). Both SA and RA savings earn the same long-term interest rate. However, some SA savings can be withdrawn on demand from age 55. As a principle, only savings that cannot be withdrawn on demand should earn the long-term interest rate, and savings that can be withdrawn on demand should earn the short-term interest rate.', 'To better align CPF interest rates to the nature of CPF savings in each CPF account, we will close your SA if you are aged 55 and above from early 2025. SA savings will be transferred to your RA, up to your Full Retirement Sum (FRS). These savings will continue to earn the long-term interest rate. If you have met your FRS, whether fully in cash or with a mixture of property and cash, any remaining SA savings will be transferred to your Ordinary Account (OA), where they remain withdrawable and will earn the short-term interest rate.', 'You can choose to transfer your OA savings to the RA at any time, up to the prevailing Enhanced Retirement Sum (ERS) to earn long-term interest rates and receive higher retirement payouts. Once transferred, the RA savings can only be streamed out to you in retirement payouts. With the raised ERS from 1 January 2025, more than 99% of the members aged 55 and above today would be able to transfer all their SA savings, that were channelled to the OA due to the closure of SA, to the RA.', 'You will be notified after the transfer of all SA savings to your RA and/or OA, and closure of your SA in early 2025. You will also be able to check the amounts transferred from your SA to your RA and/or OA from your CPF statement. No action is required from you now.', 'Watch the video on how the SA will be closed for you from early 2025.', 'More details on the implementation date will be shared in the second half of 2024. ', 'For details on other specific areas of your CPF savings, refer to these FAQ pages:']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/i-am-aged-55-and-above--what-will-happen-when-my-special-account
I am below age 55. How does the closure of Special Account affect me?,"['If you are below 55 in early 2025, you will not be immediately affected. Your Special Account (SA) will only be closed when you turn 55 when your Retirement Account is created. Read more on how your SA will be closed when you turn age 55 in the future.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/i-am-below-age-55--how-does-the-closure-of-special-account-affec
"I have set aside my Full Retirement Sum with a mixture of property and cash. With the closure of Special Account (SA), which account will my SA savings be transferred to?","['Once you have met the Full Retirement Sum (FRS), whether fully in cash, or with a mixture of property (up to half the FRS) and cash, your Special Account (SA) savings will be transferred to your Ordinary Account, where they remain withdrawable and will earn the short-term interest rate. No SA savings will be transferred to your Retirement Account to replace the portion of your FRS set aside using property. ']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/i-have-set-aside-my-full-retirement-sum-with-a-mixture-of-proper
"Once I meet my Full Retirement Sum, my Special Account savings will be transferred to the Ordinary Account which pays lower interest. What can I do to continue earning the interest rate that the Special Account pays?","['If you wish to earn higher interest and receive higher retirement payouts, you may transfer your Special Account (SA) savings that were channelled to the Ordinary Account (OA) due to the closure of SA, to the Retirement Account (RA), up to the prevailing Enhanced Retirement Sum (ERS). The RA interest rate is the same as the SA.', 'From 1 January 2025, the ERS will be raised to four times of the Basic Retirement Sum to allow members to save more in the RA and receive higher payouts, if they want. ', 'With the change, the ERS in 2025 would be $426,0001, up from $308,700 in 2024.  Hence, if you are aged 55 and above in 2025, you can save up to $426,000 in the RA.', 'The raised ERS would allow more than 99% of members aged 55 and above today to transfer all their SA savings to the RA.', 'Please note that CPF transfers are irreversible and the savings are set aside to boost your monthly payouts in retirement. Thus, the amount transferred cannot be withdrawn for any other purpose such as housing, investment, or immediate needs after age 55. Read more on how the top-ups will be used.', 'You can also invest the OA savings in low-risk investments, such as T-bills and fixed deposits, under the CPF Investment Scheme (CPFIS).  ', '1 This is the limit for the savings set aside in the RA (excluding amounts such as interest earned, government grants received, plus retirement withdrawals).']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/once-i-meet-my-full-retirement-sum--my-special-account-savings-w
Will the closure of my Special Account affect how much I can withdraw from my CPF?,"['When your Special Account (SA) is closed, the amount that you could have withdrawn from your SA will be transferred to your Ordinary Account and remains withdrawable. Find out more information on what you can withdraw from your CPF after the closure of your SA.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/will-the-closure-of-my-special-account-affect-how-much-i-can-wit
Can I choose to transfer more savings from the Special Account to the Ordinary Account since I am still servicing my housing loan/education loan etc.?,"['When your Special Account (SA) is closed, the savings in your SA will be transferred to the Retirement Account (RA), up to your Full Retirement Sum to increase your retirement payouts. Any remaining savings that are withdrawable on demand will be transferred to your Ordinary Account (OA).', 'You may use the portion transferred to your OA for your housing loan/education loan (subject to applicable limits) or choose to withdraw them anytime for your immediate needs. You cannot choose to allocate more SA savings or your future RA contributions to your OA to service your housing/education loan, etc.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/can-i-choose-to-transfer-more-savings-from-the-special-account-t
"With the closure of the Special Account for CPF members aged 55 and above, which account will my CPF contributions be allocated to?","['With the closure of Special Account (SA), CPF contributions that go to the SA currently, as well as any increase in CPF contributions allocated to SA from 1 January 2025, will be fully allocated to the member’s Retirement Account (RA) instead, up to the Full Retirement Sum (FRS), to boost retirement payouts. For members who have set aside the FRS in the RA, these contributions will be channelled to the Ordinary Account (OA). ', 'This will ensure that the additional contributions continue to earn the highest possible CPF interest rate to provide an even bigger boost to retirement payouts. RA balances currently earn a minimum interest rate of 4% a year, compared to a minimum of 2.5% in the OA. Plus, members aged 55 and above earn an extra interest of 2% per annum on the first $30,000 and 1% per annum on the next $30,000 of their combined CPF balances (capped at $20,000 for OA). ']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/with-the-closure-of-the-special-account--sa--for-cpf-members-age
Does the closure of my Special Account affect the retirement sum that I need to set aside?,['Your Full Retirement Sum (FRS) and Basic Retirement Sum (BRS) is determined when you turn 55 and will remain the same for the rest of your life. It is not affected by the closure of your Special Account. '],https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/does-the-closure-of-my-special-account-affect-the-retirement-sum
How does the closure of Special Account affect my voluntary top-ups to my three CPF accounts?,"['If you are below age 55, your voluntary top-ups to three accounts will continue to be allocated to the Ordinary Account (OA), Special Account (SA), and MediSave Account.', 'If you are aged 55 and above, the portion of voluntary top-ups that goes to your SA currently will be allocated to your Retirement Account (RA) up to the Full Retirement Sum. Once you have set aside the Full Retirement Sum in your RA, it will be allocated to your OA.']",https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/how-does-the-closure-of-special-account-affect-my-voluntary-top-
"If I am aged 55 and above, when will my Special Account be closed? ",['Your Special Account will be closed by early 2025. More details on the implementation date will be shared in the second half of 2024. '],https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/if-i-am-aged-55-and-above--when-will-my-special-account-will-be-
Will I be notified about the closure of my Special Account?,['You will be notified after your Special Account (SA) has been closed. You will also be able to check your CPF statement for the amounts that have been transferred from your SA to your Retirement Account and Ordinary Account. '],https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/will-i-be-notified-about-the-closure-of-my-special-account-
